epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,613.741,1.96752,2.10887,1.91023,1.19585,0.41591,0.45,0.309,0.11056,0.32488,0.4,0.23081,0.08479,1.76599,nan,nan,1.25052,0.001406,0.001406,0.001406
32,631.822,1.8645,2.10964,1.79887,1.19435,0.48323,0.425,0.38938,0.14328,0.445,0.4,0.3331,0.14627,1.7543,nan,nan,1.22392,0.0013862,0.0013862,0.0013862
33,654.133,1.98588,2.17468,1.85123,1.20732,0.40022,0.38383,0.38138,0.14468,0.49348,0.325,0.33191,0.14301,1.71437,1.84645,1.70453,1.20972,0.0013664,0.0013664,0.0013664
34,677.938,2.01907,2.16702,1.86228,1.2701,0.78821,0.375,0.42389,0.18677,0.73566,0.35,0.34669,0.1784,1.56247,1.69158,1.56111,1.11754,0.0013466,0.0013466,0.0013466
35,698.588,1.90811,1.98663,1.8222,1.13969,0.6337,0.34615,0.35639,0.14352,0.57463,0.325,0.30095,0.15019,nan,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,722.256,1.96625,2.09619,1.93696,1.1836,0.54351,0.38717,0.4139,0.15046,0.50985,0.36428,0.3566,0.14202,nan,nan,nan,nan,0.001307,0.001307,0.001307
37,742.231,1.91419,1.93227,1.69809,1.18152,0.67755,0.3,0.29678,0.115,0.62109,0.275,0.25914,0.11459,nan,nan,nan,nan,0.0012872,0.0012872,0.0012872
38,763.33,1.95522,2.01519,1.89865,1.21013,0.47687,0.375,0.38705,0.15798,0.47687,0.375,0.37837,0.1881,1.64476,1.74999,1.67634,1.10073,0.0012674,0.0012674,0.0012674
39,786.742,1.88335,1.90805,1.73792,1.21342,0.49136,0.35,0.35257,0.15392,0.46906,0.425,0.3393,0.13265,1.62703,1.71639,1.51632,1.16767,0.0012476,0.0012476,0.0012476
40,809.918,1.9075,2.22791,1.71064,1.2107,0.4761,0.475,0.46569,0.19712,0.43151,0.45552,0.37906,0.17207,1.69843,1.58312,1.69786,1.23151,0.0012278,0.0012278,0.0012278
41,830.892,1.8648,2.07381,1.66079,1.23046,0.59267,0.325,0.38917,0.16249,0.59267,0.325,0.37157,0.16606,1.74747,1.76106,1.74515,1.23996,0.001208,0.001208,0.001208
42,851.912,1.97893,1.94966,1.65893,1.19838,0.51828,0.35,0.38076,0.19031,0.4883,0.42952,0.4332,0.20622,1.67642,1.56005,1.60525,1.17403,0.0011882,0.0011882,0.0011882
43,870.566,1.84495,1.8027,1.65999,1.08543,0.50883,0.49222,0.39537,0.18404,0.51164,0.525,0.44263,0.19103,1.69393,1.58925,1.56,1.16986,0.0011684,0.0011684,0.0011684
44,889.218,1.91447,1.77045,1.6879,1.12062,0.56687,0.375,0.39503,0.15193,0.56687,0.375,0.39279,0.18289,1.71793,1.58574,1.66544,1.17708,0.0011486,0.0011486,0.0011486
45,908.473,1.77311,1.83955,1.54364,1.10487,0.52508,0.425,0.39342,0.17152,0.48503,0.5,0.47073,0.19938,nan,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,928.038,1.7761,2.06525,1.66184,1.13868,0.59929,0.475,0.45473,0.21701,0.51048,0.475,0.43891,0.17229,nan,nan,nan,nan,0.001109,0.001109,0.001109
47,950.502,1.70973,1.82455,1.5312,1.11914,0.55302,0.375,0.45756,0.20551,0.472,0.55,0.46493,0.20401,nan,nan,nan,nan,0.0010892,0.0010892,0.0010892
48,974.131,1.6763,1.88972,1.51511,1.0971,0.62223,0.49427,0.51103,0.25949,0.48979,0.475,0.41787,0.16517,1.63987,1.66784,1.34938,1.2056,0.0010694,0.0010694,0.0010694
49,997.399,1.82246,1.9111,1.61331,1.16706,0.8543,0.44006,0.52451,0.22385,0.82996,0.425,0.49276,0.19562,nan,nan,nan,nan,0.0010496,0.0010496,0.0010496
50,1021.97,1.80849,1.7231,1.46632,1.1314,0.60853,0.6,0.53821,0.23292,0.64345,0.525,0.49982,0.23216,nan,nan,nan,nan,0.0010298,0.0010298,0.0010298
51,1041.06,1.78654,1.92783,1.39011,1.10971,0.61864,0.52727,0.53214,0.23179,0.56418,0.5,0.4357,0.20537,nan,nan,nan,nan,0.00101,0.00101,0.00101
52,1060.92,1.78611,1.76201,1.43561,1.11132,0.4251,0.48073,0.42835,0.18766,0.4251,0.48073,0.42273,0.1751,1.50176,1.62775,1.41252,1.08361,0.0009902,0.0009902,0.0009902
53,1084.62,1.74866,1.77204,1.41597,1.06744,0.41927,0.575,0.46127,0.18754,0.50572,0.425,0.3928,0.17441,1.52116,1.57128,1.38509,1.10197,0.0009704,0.0009704,0.0009704
54,1105.98,1.67272,1.69612,1.42545,1.0469,0.63581,0.48023,0.49049,0.19054,0.60617,0.46196,0.41865,0.20671,1.50593,1.60032,1.34456,1.10404,0.0009506,0.0009506,0.0009506
55,1125.68,1.75097,1.88127,1.36152,1.08467,0.5309,0.475,0.4987,0.23095,0.66216,0.39223,0.4769,0.2399,1.41541,1.5207,1.2779,1.05656,0.0009308,0.0009308,0.0009308
56,1149.41,1.65969,1.78959,1.34654,1.06801,0.73067,0.575,0.5554,0.27235,0.66907,0.575,0.5137,0.24131,1.4724,1.57697,1.28295,1.08217,0.000911,0.000911,0.000911
57,1168.76,1.68849,1.89367,1.34505,1.09821,0.52701,0.6,0.4876,0.23572,0.54949,0.625,0.55667,0.27631,1.51161,1.63208,1.22891,1.07836,0.0008912,0.0008912,0.0008912
58,1185.98,1.64936,1.71946,1.31323,1.12076,0.63643,0.475,0.49138,0.2605,0.63643,0.475,0.50077,0.23515,nan,nan,nan,nan,0.0008714,0.0008714,0.0008714
59,1203.11,1.69985,1.68866,1.43492,1.10655,0.73792,0.475,0.53343,0.27098,0.61556,0.45,0.47861,0.24173,1.48134,1.48338,1.2215,1.04655,0.0008516,0.0008516,0.0008516
60,1227.03,1.71883,1.94274,1.3704,1.09387,0.75211,0.55,0.55559,0.29693,0.69118,0.5,0.49075,0.24475,1.41817,1.43911,1.22296,1.01908,0.0008318,0.0008318,0.0008318
61,1245.83,1.63074,1.78848,1.23777,1.09996,0.81523,0.55158,0.62073,0.31137,0.7571,0.54559,0.56311,0.28519,nan,nan,nan,nan,0.000812,0.000812,0.000812
62,1263.26,1.72808,1.84073,1.29569,1.08318,0.76039,0.55,0.59372,0.29232,0.7252,0.525,0.54938,0.25138,nan,nan,nan,nan,0.0007922,0.0007922,0.0007922
