epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,721.26,1.76126,1.58818,1.19754,0.64362,0.475,0.51053,0.23984,1.65294,1.27348,1.24279,0.0011684,0.0011684,0.0011684
44,737.4,1.73541,1.57608,1.11944,0.58888,0.475,0.48133,0.25589,1.59625,1.3307,1.21544,0.0011486,0.0011486,0.0011486
45,754.682,1.75459,1.42223,1.15795,0.49815,0.5,0.44583,0.23225,1.54206,1.34118,1.16249,0.0011288,0.0011288,0.0011288
46,769.748,1.67278,1.38981,1.14771,0.57602,0.5,0.46179,0.23232,1.60447,1.40978,1.1734,0.001109,0.001109,0.001109
47,785.529,1.69166,1.43804,1.18899,0.6298,0.525,0.53662,0.22681,1.59202,1.56975,1.1368,0.0010892,0.0010892,0.0010892
48,800.096,1.67905,1.48893,1.18163,0.5548,0.525,0.49857,0.27357,1.49459,1.31737,1.08698,0.0010694,0.0010694,0.0010694
49,814.929,1.71941,1.40696,1.12584,0.73526,0.4,0.48245,0.23889,1.52225,1.34844,1.09377,0.0010496,0.0010496,0.0010496
50,831.428,1.64822,1.2661,1.12842,0.59055,0.525,0.50487,0.28719,1.3648,1.33424,1.05714,0.0010298,0.0010298,0.0010298
51,846.684,1.64904,1.22535,1.20062,0.46622,0.50228,0.47971,0.27033,1.52587,1.34577,1.15882,0.00101,0.00101,0.00101
52,860.599,1.68559,1.38476,1.15525,0.70501,0.4,0.53589,0.25441,1.56919,1.34994,1.14048,0.0009902,0.0009902,0.0009902
53,874.892,1.66662,1.23001,1.12015,0.57967,0.475,0.51673,0.28081,1.48916,1.36421,1.11573,0.0009704,0.0009704,0.0009704
54,891.737,1.70221,1.36793,1.14779,0.77067,0.5,0.54861,0.30396,1.53351,1.24203,1.15294,0.0009506,0.0009506,0.0009506
55,907.202,1.74568,1.3264,1.14559,0.57463,0.5,0.48954,0.27962,1.56556,1.39592,1.14796,0.0009308,0.0009308,0.0009308
56,923.39,1.5766,1.22249,1.07652,0.57237,0.5,0.53781,0.30664,1.45291,1.36507,1.089,0.000911,0.000911,0.000911
57,938.684,1.58602,1.2225,1.09405,0.58166,0.55,0.5021,0.30633,1.41258,1.30233,1.06168,0.0008912,0.0008912,0.0008912
58,955.3,1.58172,1.20579,1.1169,0.5525,0.55,0.48289,0.26731,1.49455,1.51496,1.15807,0.0008714,0.0008714,0.0008714
59,970.712,1.57383,1.24003,1.06625,0.55985,0.6,0.51223,0.28865,1.5255,1.34738,1.15952,0.0008516,0.0008516,0.0008516
60,986.71,1.54912,1.15857,1.08409,0.54808,0.525,0.55672,0.30962,1.43988,1.35296,1.16207,0.0008318,0.0008318,0.0008318
61,1003.48,1.49233,1.11089,1.05993,0.59386,0.575,0.53416,0.31277,1.50442,1.1822,1.16566,0.000812,0.000812,0.000812
62,1017.9,1.471,1.16831,1.12197,0.62639,0.65,0.5453,0.32352,1.53015,1.15169,1.11637,0.0007922,0.0007922,0.0007922
63,1033.36,1.44795,1.15798,1.0835,0.65713,0.6,0.55723,0.33538,1.48074,1.15464,1.06882,0.0007724,0.0007724,0.0007724
64,1048.4,1.54215,1.22411,1.10158,0.59028,0.45,0.49203,0.29398,1.47912,1.26291,1.05847,0.0007526,0.0007526,0.0007526
65,1064.34,1.51374,1.11496,1.10481,0.79813,0.425,0.53504,0.31294,1.53395,1.34753,1.13296,0.0007328,0.0007328,0.0007328
66,1078.8,1.50145,1.20639,1.05048,0.72933,0.525,0.63084,0.36854,1.38576,1.11587,1.08538,0.000713,0.000713,0.000713
67,1095.51,1.42026,1.07545,1.01367,0.60454,0.61163,0.62583,0.32589,1.48221,1.14034,1.06187,0.0006932,0.0006932,0.0006932
68,1109.78,1.50372,1.06777,1.0859,0.75948,0.425,0.5363,0.3243,1.45054,1.10463,1.10178,0.0006734,0.0006734,0.0006734
69,1129.71,1.43043,1.05093,1.08718,0.72454,0.475,0.57048,0.30864,1.40476,1.16284,1.10532,0.0006536,0.0006536,0.0006536
70,1145.2,1.40548,1.02198,1.06214,0.79385,0.4,0.51241,0.3127,1.44975,1.20444,1.10111,0.0006338,0.0006338,0.0006338
71,1161.98,1.44274,1.0406,1.08347,0.89299,0.41751,0.54505,0.32503,1.36041,1.21897,1.08636,0.000614,0.000614,0.000614
72,1178.69,1.40472,1.03521,1.03357,0.71621,0.425,0.53241,0.36102,1.35223,1.20866,1.08269,0.0005942,0.0005942,0.0005942
73,1195.81,1.43475,1.03333,1.05971,0.71263,0.475,0.57641,0.33081,1.44187,1.21638,1.11314,0.0005744,0.0005744,0.0005744
74,1211.89,1.45118,1.08575,1.06199,0.66698,0.525,0.55179,0.33931,1.3881,1.23145,1.09591,0.0005546,0.0005546,0.0005546
75,1227.76,1.51398,1.07256,1.10459,0.69797,0.5778,0.59691,0.37055,1.30507,1.12694,1.05796,0.0005348,0.0005348,0.0005348
76,1243.27,1.39875,1.02638,1.03828,0.7071,0.575,0.5751,0.36053,1.37009,1.17248,1.08336,0.000515,0.000515,0.000515
77,1259.64,1.46358,1.01511,1.07258,0.58885,0.625,0.54907,0.34797,1.39587,1.18798,1.10275,0.0004952,0.0004952,0.0004952
78,1274.99,1.36217,0.91163,1.0994,0.68528,0.54451,0.54512,0.37977,1.311,1.08918,1.10243,0.0004754,0.0004754,0.0004754
79,1290.87,1.35172,0.98015,1.03212,0.60249,0.60639,0.54521,0.36402,1.35496,1.07784,1.12729,0.0004556,0.0004556,0.0004556
80,1306.61,1.41992,1.01083,1.11925,0.67096,0.575,0.5835,0.34526,1.42883,1.10493,1.15166,0.0004358,0.0004358,0.0004358
81,1322.34,1.36926,0.96407,1.00951,0.74039,0.5,0.57427,0.33572,1.42222,1.0879,1.1139,0.000416,0.000416,0.000416
82,1337.4,1.36365,0.97183,1.04345,0.73741,0.525,0.60125,0.32251,1.47458,1.10779,1.08461,0.0003962,0.0003962,0.0003962
83,1351.83,1.34671,0.95126,1.0389,0.68454,0.59682,0.6034,0.36339,1.36214,1.10466,1.04757,0.0003764,0.0003764,0.0003764
84,1367.88,1.39787,0.96976,1.02721,0.70048,0.575,0.60328,0.38765,1.27014,1.09158,1.02568,0.0003566,0.0003566,0.0003566
85,1382.63,1.35706,0.91848,1.04392,0.74926,0.6,0.63935,0.39453,1.28015,1.04072,1.01385,0.0003368,0.0003368,0.0003368
86,1398.49,1.29758,0.97213,0.96157,0.72028,0.6,0.61554,0.39665,1.29589,1.06622,1.05093,0.000317,0.000317,0.000317
87,1413.11,1.25391,0.91989,0.99068,0.65923,0.625,0.61155,0.38549,1.28538,1.01165,1.04779,0.0002972,0.0002972,0.0002972
88,1429.24,1.21114,0.89359,1.02562,0.63282,0.6,0.60963,0.39752,1.28425,1.07177,1.05138,0.0002774,0.0002774,0.0002774
89,1444.89,1.29069,0.88233,1.02524,0.73653,0.5593,0.62106,0.41193,1.2716,1.0935,1.02046,0.0002576,0.0002576,0.0002576
90,1460.53,1.31596,0.97411,1.03947,0.60836,0.62141,0.61135,0.40362,1.26429,1.12816,1.0256,0.0002378,0.0002378,0.0002378
91,1476.26,1.22233,0.85169,0.98216,0.61093,0.575,0.61453,0.40951,1.25514,1.11061,1.00048,0.000218,0.000218,0.000218
92,1492.17,1.14079,0.78322,0.97441,0.72511,0.59367,0.64687,0.40258,1.23758,1.06946,0.98733,0.0001982,0.0001982,0.0001982
93,1506.66,1.2383,0.84471,0.97462,0.73685,0.56021,0.65059,0.42289,1.26767,1.08553,1.02118,0.0001784,0.0001784,0.0001784
94,1523.33,1.24466,0.80317,1.02471,0.67303,0.6,0.63947,0.43346,1.17053,0.97732,0.98598,0.0001586,0.0001586,0.0001586
95,1539.98,1.27847,0.84112,1.01656,0.69161,0.61689,0.65897,0.44099,1.15244,0.95386,0.97698,0.0001388,0.0001388,0.0001388
96,1561.16,1.2445,0.8142,0.99114,0.68539,0.59912,0.64838,0.43898,1.15129,0.94399,0.97626,0.000119,0.000119,0.000119
97,1580.21,1.26968,0.84205,1.03342,0.67881,0.575,0.638,0.44043,1.14762,0.92301,0.97237,9.92e-05,9.92e-05,9.92e-05
98,1600.41,1.16498,0.78842,0.98639,0.68606,0.6,0.63908,0.43569,1.16372,0.92379,0.98306,7.94e-05,7.94e-05,7.94e-05
99,1615.5,1.16741,0.77281,0.96411,0.67271,0.61677,0.6507,0.43262,1.16837,0.9312,0.98404,5.96e-05,5.96e-05,5.96e-05
100,1631.38,1.08133,0.74418,0.98159,0.71924,0.57642,0.65121,0.42942,1.16842,0.93561,0.98533,3.98e-05,3.98e-05,3.98e-05
