epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5802.41,1.91095,1.58119,1.22165,0.58314,0.425,0.4397,0.22419,1.97585,2.0619,1.38132,0.0011684,0.0011684,0.0011684
44,5919.32,1.73482,1.52396,1.18808,0.48987,0.4,0.4352,0.23463,1.96021,1.98745,1.34707,0.0011486,0.0011486,0.0011486
45,6036.87,1.77665,1.46622,1.16815,0.46121,0.49233,0.44597,0.25532,1.90801,1.86342,1.35846,0.0011288,0.0011288,0.0011288
46,7023.87,1.87706,1.49175,1.24967,0.47546,0.49857,0.44209,0.22057,1.99559,1.87851,1.32887,0.001109,0.001109,0.001109
47,7099.72,1.81078,1.41796,1.14502,0.43892,0.45,0.43335,0.21878,2.00311,1.87864,1.35746,0.0010892,0.0010892,0.0010892
48,7176.71,1.79869,1.45763,1.1736,0.55777,0.425,0.44537,0.1952,2.0066,2.07676,1.38447,0.0010694,0.0010694,0.0010694
49,7253.73,1.82384,1.40586,1.13925,0.43942,0.45,0.39046,0.19965,1.89252,1.95279,1.34893,0.0010496,0.0010496,0.0010496
50,7330.84,1.76233,1.45378,1.12214,0.50549,0.525,0.43456,0.21354,1.95923,1.98626,1.31893,0.0010298,0.0010298,0.0010298
51,7410.07,1.76554,1.37122,1.19107,0.47875,0.55,0.42856,0.21596,1.98246,1.75733,1.33105,0.00101,0.00101,0.00101
52,7489.08,1.7152,1.40238,1.17785,0.52078,0.40769,0.49811,0.2638,1.90115,1.80453,1.39947,0.0009902,0.0009902,0.0009902
53,7568.21,1.75975,1.40895,1.19078,0.61267,0.45,0.5113,0.23996,1.88596,1.85526,1.33797,0.0009704,0.0009704,0.0009704
54,7648,1.68422,1.25523,1.12333,0.46339,0.45,0.46825,0.23029,1.7683,1.6978,1.28636,0.0009506,0.0009506,0.0009506
55,7727.85,1.65668,1.26948,1.14,0.71898,0.375,0.50721,0.2638,1.74507,1.7577,1.2538,0.0009308,0.0009308,0.0009308
56,7806.48,1.70294,1.38172,1.12016,0.63686,0.4,0.4662,0.25952,1.79925,1.84039,1.25611,0.000911,0.000911,0.000911
