epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,253.008,2.16187,1.65077,1.29314,0.48503,0.2,0.15991,0.04268,2.68349,3.55184,1.67279,0.00952889,0.00952889,0.00952889
44,258.759,2.22216,1.77538,1.32643,0.21748,0.3,0.16159,0.04628,2.54717,2.76512,1.64185,0.00950658,0.00950658,0.00950658
45,264.139,1.97178,1.56799,1.2579,0.25704,0.125,0.07502,0.03203,2.77175,3.52697,1.79258,0.00948377,0.00948377,0.00948377
46,269.966,2.10015,1.67889,1.25136,0.40929,0.325,0.2482,0.08364,2.4783,2.58721,1.56928,0.00946048,0.00946048,0.00946048
47,275.332,2.07352,1.67139,1.26682,0.28259,0.325,0.20835,0.07885,2.37859,2.78519,1.45408,0.00943671,0.00943671,0.00943671
48,281.191,2.02353,1.50181,1.26272,0.40165,0.35,0.26242,0.10543,2.1065,2.4865,1.39407,0.00941245,0.00941245,0.00941245
49,286.576,2.01059,1.59461,1.25728,0.64865,0.4,0.41222,0.16632,2.134,2.10597,1.43603,0.00938772,0.00938772,0.00938772
50,292.537,1.96147,1.48955,1.23036,0.37037,0.375,0.32385,0.1512,2.32937,2.34634,1.49407,0.00936251,0.00936251,0.00936251
51,298.111,2.01613,1.46848,1.24535,0.16386,0.125,0.11182,0.03964,2.53564,4.05518,1.63274,0.00933683,0.00933683,0.00933683
52,303.58,1.92894,1.42222,1.24167,0.33773,0.05,0.02071,0.0074,2.9909,5.46107,1.94218,0.00931067,0.00931067,0.00931067
53,309.425,2.00626,1.43813,1.29212,0.20671,0.075,0.05088,0.01965,3.32739,4.4011,1.94085,0.00928405,0.00928405,0.00928405
54,314.829,2.02473,1.51789,1.25912,0.31167,0.15,0.12817,0.04995,2.8002,2.89281,1.6628,0.00925697,0.00925697,0.00925697
55,320.717,2.03272,1.38519,1.26702,0.33942,0.225,0.16686,0.05726,2.66389,2.51821,1.5516,0.00922942,0.00922942,0.00922942
56,326.052,1.95746,1.37401,1.21801,0.48106,0.3,0.27729,0.10183,2.22955,2.5527,1.48082,0.00920142,0.00920142,0.00920142
57,332.198,1.86966,1.34307,1.22443,0.48327,0.4,0.37269,0.1588,2.22941,2.25649,1.49387,0.00917296,0.00917296,0.00917296
58,337.523,1.89903,1.37265,1.27753,0.25607,0.225,0.17701,0.07291,2.62765,2.63971,1.62175,0.00914405,0.00914405,0.00914405
59,343.305,1.84635,1.38497,1.22996,0.24392,0.15,0.11189,0.02725,3.08898,3.44117,1.71834,0.00911469,0.00911469,0.00911469
60,349.044,1.85376,1.39229,1.23677,0.27008,0.25,0.19458,0.0736,2.57105,2.55279,1.53729,0.00908488,0.00908488,0.00908488
61,354.481,2.00012,1.62006,1.27662,0.15037,0.125,0.0677,0.0252,2.88551,3.83682,2.04361,0.00905463,0.00905463,0.00905463
62,360.309,2.10534,1.4613,1.30733,0.51656,0.375,0.34181,0.15884,2.14119,2.09398,1.54095,0.00902395,0.00902395,0.00902395
63,365.711,1.77529,1.27069,1.17633,0.53994,0.275,0.26945,0.12769,2.0815,2.01947,1.44867,0.00899282,0.00899282,0.00899282
64,371.621,1.93392,1.50032,1.20574,0.36698,0.175,0.15854,0.0483,2.74995,2.6094,1.62369,0.00896127,0.00896127,0.00896127
65,376.956,1.98022,1.44041,1.27547,0.35118,0.275,0.19055,0.09223,2.39645,2.2169,1.53078,0.00892928,0.00892928,0.00892928
66,383.074,1.75165,1.26717,1.19046,0.92051,0.15,0.21193,0.08622,2.45733,2.21613,1.61869,0.00889687,0.00889687,0.00889687
67,388.481,1.83529,1.40179,1.23658,0.65277,0.225,0.26662,0.11532,2.30999,2.91695,1.50459,0.00886404,0.00886404,0.00886404
68,394.183,1.86089,1.31546,1.19387,0.42042,0.45344,0.38415,0.17389,2.12553,2.24923,1.4136,0.00883079,0.00883079,0.00883079
69,399.876,1.91659,1.55562,1.22793,0.57531,0.30498,0.33633,0.14463,2.33799,2.31219,1.44087,0.00879713,0.00879713,0.00879713
70,405.206,1.8488,1.31764,1.18995,0.37516,0.275,0.25898,0.13087,2.20056,2.9268,1.41414,0.00876305,0.00876305,0.00876305
71,411.08,1.82589,1.29507,1.15447,0.56909,0.25,0.25039,0.12131,2.17954,2.72325,1.3595,0.00872857,0.00872857,0.00872857
72,416.448,1.77497,1.27602,1.15161,0.57889,0.3,0.33878,0.126,2.33067,2.56833,1.39178,0.00869368,0.00869368,0.00869368
73,422.662,1.76079,1.22647,1.16404,0.32219,0.4,0.24044,0.10078,2.22271,2.49842,1.32755,0.00865839,0.00865839,0.00865839
74,428.106,1.77937,1.28514,1.16851,0.40544,0.275,0.22674,0.10505,1.99539,2.59309,1.27048,0.00862271,0.00862271,0.00862271
75,433.823,1.7987,1.36364,1.2488,0.56571,0.325,0.34574,0.16184,2.16402,2.26022,1.37602,0.00858664,0.00858664,0.00858664
76,439.53,1.75382,1.23764,1.19131,0.82284,0.3,0.39724,0.17843,2.04897,1.85931,1.36536,0.00855018,0.00855018,0.00855018
77,444.865,1.75666,1.1703,1.14905,0.61418,0.39804,0.39954,0.18943,2.14858,1.84972,1.41012,0.00851333,0.00851333,0.00851333
78,450.786,1.78139,1.24137,1.18519,0.56391,0.48509,0.50446,0.22742,1.95552,1.47491,1.28726,0.00847611,0.00847611,0.00847611
79,456.216,1.83417,1.31217,1.15759,0.64694,0.35,0.44564,0.18914,2.23391,1.73879,1.4427,0.00843851,0.00843851,0.00843851
80,462.1,1.81291,1.32742,1.19184,0.46183,0.4,0.35902,0.15642,2.3961,2.03211,1.58843,0.00840054,0.00840054,0.00840054
81,467.474,1.79961,1.28075,1.19193,0.4334,0.45,0.36034,0.15676,2.26096,2.19606,1.51741,0.0083622,0.0083622,0.0083622
82,473.526,1.74978,1.22057,1.15359,0.59956,0.25,0.23636,0.12125,2.12426,2.64261,1.39294,0.00832349,0.00832349,0.00832349
83,479.143,1.80128,1.33188,1.18945,0.61167,0.5,0.50518,0.24777,1.69666,1.61819,1.23157,0.00828443,0.00828443,0.00828443
84,484.84,1.69082,1.08719,1.08745,0.704,0.475,0.51793,0.26586,1.73648,1.57992,1.23463,0.00824502,0.00824502,0.00824502
85,490.683,1.70476,1.14185,1.15199,0.52493,0.49728,0.4536,0.2347,1.88124,1.64521,1.34891,0.00820525,0.00820525,0.00820525
86,496.041,1.70752,1.18259,1.17587,0.479,0.45,0.4318,0.22167,1.92628,2.05157,1.30592,0.00816514,0.00816514,0.00816514
87,501.913,1.62508,1.10935,1.11946,0.47242,0.575,0.46218,0.25212,1.75975,1.65443,1.24515,0.00812468,0.00812468,0.00812468
88,507.286,1.63828,1.10413,1.14729,0.50084,0.475,0.40225,0.20353,1.95017,1.70921,1.38847,0.00808389,0.00808389,0.00808389
89,513.351,1.66989,1.28161,1.14701,0.57639,0.17041,0.18706,0.07147,2.2702,3.30055,1.45257,0.00804277,0.00804277,0.00804277
90,518.772,1.6799,1.24459,1.13228,0.30459,0.125,0.12294,0.05167,2.3542,3.63993,1.42677,0.00800131,0.00800131,0.00800131
91,524.806,1.6976,1.19074,1.12259,0.68656,0.35,0.42936,0.18784,1.95121,1.71064,1.31643,0.00795954,0.00795954,0.00795954
92,530.926,1.63957,1.10678,1.11147,0.73626,0.225,0.30122,0.11144,2.52592,2.07273,1.50231,0.00791744,0.00791744,0.00791744
93,536.731,1.64568,1.16384,1.14698,0.30059,0.25,0.21053,0.08538,2.71779,2.45372,1.61818,0.00787503,0.00787503,0.00787503
94,542.476,1.60629,1.09515,1.11964,0.40419,0.2,0.21017,0.10939,2.41817,2.32126,1.48065,0.00783231,0.00783231,0.00783231
95,547.874,1.54076,1.02953,1.05398,0.46766,0.375,0.35719,0.16088,2.06294,1.67878,1.3128,0.00778929,0.00778929,0.00778929
96,553.699,1.58532,1.11866,1.1493,0.70509,0.5,0.49375,0.28098,1.75571,1.38578,1.25335,0.00774596,0.00774596,0.00774596
97,559.234,1.54834,1.12079,1.07246,0.76634,0.49217,0.53901,0.23043,1.99483,1.4586,1.24042,0.00770234,0.00770234,0.00770234
98,565.132,1.58619,1.14674,1.11286,0.56104,0.57516,0.56473,0.31487,1.66772,1.34038,1.18458,0.00765843,0.00765843,0.00765843
99,570.483,1.6716,1.1528,1.15162,0.53812,0.6118,0.53979,0.25623,1.94985,1.48416,1.24174,0.00761423,0.00761423,0.00761423
100,576.545,1.65684,1.13248,1.14383,0.54715,0.5,0.39223,0.20625,1.84964,1.53686,1.21198,0.00756976,0.00756976,0.00756976
101,582.119,1.69195,1.16514,1.10746,0.57081,0.475,0.49251,0.26169,1.93743,1.48406,1.28301,0.007525,0.007525,0.007525
102,587.787,1.57492,1.15976,1.09358,0.51599,0.575,0.51963,0.26189,1.7937,1.55844,1.28289,0.00747997,0.00747997,0.00747997
103,593.529,1.4709,1.07024,1.0685,0.54355,0.425,0.43145,0.21594,1.88003,1.67589,1.33341,0.00743468,0.00743468,0.00743468
104,598.936,1.64631,1.18957,1.13294,0.50022,0.525,0.48522,0.23494,1.94476,1.83433,1.40218,0.00738913,0.00738913,0.00738913
105,605.08,1.68503,1.17461,1.14359,0.469,0.57413,0.50755,0.25819,1.81432,1.98138,1.30244,0.00734332,0.00734332,0.00734332
106,610.467,1.54717,1.07765,1.10546,0.56184,0.57707,0.5139,0.28142,1.73534,1.48981,1.21466,0.00729725,0.00729725,0.00729725
107,616.505,1.58939,1.12549,1.13307,0.61711,0.6,0.54105,0.30427,1.77169,1.27978,1.28316,0.00725094,0.00725094,0.00725094
108,621.933,1.51449,1.06734,1.07965,0.69864,0.46388,0.48348,0.22675,1.92581,1.48823,1.33299,0.00720439,0.00720439,0.00720439
109,627.929,1.52519,1.08278,1.05737,0.72141,0.5,0.58232,0.33059,1.66858,1.42487,1.23306,0.00715761,0.00715761,0.00715761
110,633.678,1.40937,1.08221,1.05757,0.63249,0.55949,0.54496,0.30952,1.78292,1.70083,1.2604,0.00711059,0.00711059,0.00711059
111,639.308,1.5138,1.05834,1.09865,0.77103,0.5,0.60745,0.2823,1.79053,1.75016,1.29775,0.00706335,0.00706335,0.00706335
112,645.09,1.55901,1.01716,1.06335,0.97334,0.45,0.62725,0.38148,1.57286,1.32237,1.18232,0.00701588,0.00701588,0.00701588
113,650.47,1.5543,1.07965,1.05745,0.90918,0.575,0.68017,0.39898,1.54898,1.19841,1.25174,0.0069682,0.0069682,0.0069682
114,656.366,1.52292,1.00672,1.09936,0.68829,0.6,0.58343,0.30467,1.53288,1.37162,1.12703,0.00692031,0.00692031,0.00692031
115,661.822,1.5146,1.03524,1.07305,0.64529,0.55,0.60056,0.34272,1.42008,1.32685,1.10396,0.00687222,0.00687222,0.00687222
116,667.964,1.50306,1.03291,1.0583,0.85231,0.425,0.55194,0.29287,1.62904,1.33775,1.15942,0.00682392,0.00682392,0.00682392
117,673.402,1.50783,1.05147,1.08948,0.89248,0.5,0.62217,0.32808,1.56536,1.22494,1.16476,0.00677543,0.00677543,0.00677543
